date,PM25,PM10,wind_dir,wind_speed,fire_count,co,no,no2,o3,so2,nh3
2020-06-02,10.0,20.0,148.54386270550455,5.819801399203042,4,1509.4862962718398,1.2355961906011959,23.399934408752646,28.882300704425322,6.314603947741513,3.3347498284109958
2020-10-06,10.0,20.0,250.42253273885046,2.4003740469479107,14,5000.0,2.8536832263082808,19.51016308342749,5.454134402825113,6.063463043001579,1.5
2020-05-24,10.0,20.0,1.1585748975403254,0.3502814449227887,2,1261.286149420353,0.9913095878343235,22.590924135805263,4.531775842810468,6.337834219143142,1.6735469447418176
2020-10-27,10.0,20.0,223.05216148554265,11.343204209252653,13,2969.408978663283,3.799639728242061,13.227456986724805,36.19570004336914,8.276816254286537,4.028121241924026
2020-10-11,10.0,20.0,127.97748375888867,6.8778451332283606,10,500.0,0.19922258954058722,150.0,2.1334779030385858,6.4524435316696085,4.927040739818165
2020-02-23,18.367156969179486,20.0,285.91103925975034,4.338671579589818,3,1284.0333267088158,1.198340043144023,59.626059601458834,2.397467293989783,15.004085169036621,3.5771583162031644
2020-05-06,21.228210828643437,20.0,33.476630336327574,13.50124774524721,6,500.0,0.5282520189558765,10.0,2.4689172029014785,17.46796646639024,17.161586059815335
2020-05-05,14.205571706348776,20.0,211.7528161014206,1.7420844030078841,6,500.0,3.330117277492578,24.198592490981873,6.904190998483807,5.0,20.683041473756813
2020-05-03,10.0,32.74933764540705,173.15024035900456,14.338782434329788,5,523.547935022085,12.081448125533058,12.349246951775218,11.37743069677456,43.426303372292665,3.6473162212407155
2020-10-21,10.0,22.72145896169507,231.23718932588187,4.709500760660292,12,3611.575325561757,7.163575878490033,10.0,15.481959891381251,5.0,25.119563362186046
2020-06-11,79.38658533133534,20.0,23.347294013868606,13.326055084630218,3,2835.61983420888,0.1,10.0,96.7369382371392,5.0,6.883957055043524
2020-05-27,20.379565195151933,20.0,208.79416347412726,9.044143147191923,1,1398.2891352618287,58.15457079446945,28.38251687484456,1.0,17.828139349197674,4.842384029015122
2020-11-20,10.0,20.0,202.13445166542854,12.400610396122312,12,500.0,4.233037882948035,11.645220192822347,13.581866930094408,5.379480808849989,19.951774697351183
2020-10-27,35.946732250265676,20.0,201.83763398982154,14.760197448156964,11,901.1929166444784,0.8481067974427127,43.56529378317619,4.232824189759147,16.798531481236036,7.331407862382831
2020-02-02,10.0,74.58803638202322,217.25555997472372,4.326081567281186,4,1482.8185909071276,3.4407582839903172,44.47938269670002,4.110665144714946,5.0,52.95134179488194
2020-06-25,10.0,20.0,243.5284574014904,14.417032281113894,2,1307.0607977663917,3.5405593875858825,60.287905300604095,3.9758074984765517,49.031156426388534,1.0
2020-11-06,29.836483879268098,20.0,289.7960398850771,5.842228423536305,10,500.0,0.9997269618543554,10.156263280429918,2.9779356607971925,23.86214729072065,3.622846450676782
2020-11-14,10.0,24.081528163281348,97.13545924615717,5.782678571053835,12,500.0,3.657848017077946,29.379362984101398,39.826193923898416,5.0,5.775601644016094
2020-02-05,10.0,20.0,297.0177876648223,5.105806563817586,4,1028.5673964789942,1.0928528477035861,33.313521756274596,17.15513124832043,5.0,7.593884319504491
